Age,Income,Experience,Score,Purchase
20,29425,30,13,0
18,111549,19,31,0
22,113464,26,77,1
43,64990,7,26,0
31,126748,20,63,1
56,93746,27,31,0
44,88295,22,22,0
26,36091,5,6,0
32,139943,2,20,0
32,143102,4,85,1
43,20002,8,10,0
59,142818,6,83,1
30,70411,3,35,0
49,60958,38,26,0
56,147829,4,71,1
49,115696,10,37,0
21,40707,14,8,0
47,35248,33,5,0
54,91309,12,44,0
40,98322,6,92,1
56,71720,39,67,1
62,35037,5,72,0
32,87421,38,79,1
60,125364,29,91,1
46,101867,21,49,0
53,60612,24,36,0
30,108031,27,80,1
49,33450,19,26,0
24,29491,38,45,0
39,137026,2,61,1
45,94804,4,44,0
19,138446,0,4,0
59,113293,14,76,1
62,139498,25,81,1
23,127443,2,58,1
45,26791,39,26,0
45,125475,33,95,1
61,48314,4,79,0
61,71883,30,98,1
37,114119,12,29,0
47,135557,0,9,0
28,107086,21,78,1
45,85629,14,36,0
42,121291,25,4,0
56,131151,17,59,1
50,29967,8,37,0
18,101754,0,88,1
44,63220,8,81,1
30,94163,22,13,0
58,24947,1,20,0
20,59419,13,17,0
56,76131,37,51,1
23,108714,39,91,1
25,48876,17,55,0
44,108444,15,33,0
26,121448,28,21,0
54,39971,10,81,0
50,82539,5,22,0
59,118120,2,25,0
61,69228,13,67,1
41,143695,1,91,1
32,94495,31,91,1
49,141241,30,12,0
49,48261,10,15,0
41,126601,21,84,1
58,81260,2,86,1
29,124998,30,2,0
56,101371,32,4,0
19,104793,23,45,0
20,23346,0,13,0
54,116343,14,55,1
34,115954,36,32,0
19,76176,26,22,0
19,72300,37,89,1
45,31340,26,91,0
40,144345,11,55,1
54,145467,2,17,0
49,53012,29,70,0
50,55393,31,51,0
18,122153,22,80,1
36,95133,1,8,0
19,45557,6,61,0
61,84204,33,97,1
43,93273,31,10,0
49,132328,38,98,1
23,130304,31,19,0
49,126637,13,14,0
21,37276,2,67,0
28,74639,31,55,1
34,141939,35,61,1
55,27310,16,56,0
41,55167,2,63,0
22,122944,9,87,1
51,104880,39,11,0
23,30391,17,47,0
39,142013,2,6,0
28,70621,38,34,0
33,30892,9,65,0
50,96733,8,99,1
26,98586,10,89,1
23,56142,32,64,0
33,65679,35,93,1
46,61615,25,87,1
20,67553,26,82,1
37,129264,37,78,1
53,99071,21,81,1
36,61002,25,66,1
43,128807,21,31,0
20,142611,4,83,1
36,90658,34,96,1
37,29852,1,62,0
49,25387,34,54,0
24,147571,8,92,1
58,117295,17,8,0
50,125935,11,42,0
57,59994,2,41,0
56,123412,17,59,1
35,136912,37,40,0
57,120414,6,22,0
18,53725,32,24,0
28,92682,5,38,0
45,20560,17,2,0
42,144210,21,41,0
40,76565,38,19,0
48,21312,8,2,0
47,38205,34,92,0
59,145882,22,96,1
52,31595,11,62,0
24,107566,23,83,1
33,41329,39,16,0
43,123678,8,94,1
19,88187,12,22,0
18,148509,39,14,0
29,95542,16,56,1
22,128237,6,65,1
54,139389,16,45,0
49,146688,23,54,1
26,134476,1,66,1
58,55645,34,86,0
52,107502,27,46,0
36,113382,18,33,0
33,107310,32,79,1
20,89619,20,50,0
37,53513,9,22,0
41,28749,8,40,0
50,50783,37,39,0
41,80645,5,41,0
28,102861,34,75,1
25,73175,17,68,1
53,104216,18,7,0
55,82709,4,85,1
57,37323,24,71,0
37,70762,10,4,0
52,108220,9,76,1
42,84222,16,91,1
52,54493,35,59,0
42,78328,25,81,1
46,144467,30,84,1
35,32213,31,95,0
63,117367,20,26,0
35,127832,17,31,0
19,66930,17,99,1
52,47713,0,73,0
33,127157,13,69,1
58,92723,7,52,1
53,118336,1,72,1
50,52583,14,21,0
21,148792,33,16,0
50,133197,35,51,1
31,99944,0,16,0
38,42369,20,18,0
37,67928,0,47,0
25,88950,31,56,1
24,135844,19,28,0
20,39510,35,82,0
34,142940,38,78,1
50,32120,29,56,0
29,119847,6,37,0
39,118575,21,16,0
39,149269,9,85,1
63,25295,7,65,0
47,40460,26,60,0
55,34963,9,61,0
55,97116,13,11,0
62,107822,10,75,1
25,47328,5,66,0
44,104629,20,32,0
44,144034,32,19,0
51,41605,18,56,0
38,130901,38,5,0
47,64813,23,3,0
50,66371,17,28,0
45,128241,34,90,1
64,67598,36,87,1
50,80776,18,94,1
22,143217,23,72,1
36,92258,33,29,0
21,60969,21,77,1
52,56912,3,59,0
34,58374,9,25,0
61,92302,1,22,0
45,82784,7,97,1
47,69882,32,71,1
46,35928,37,23,0
63,41274,27,70,0
23,149994,9,79,1
52,54416,0,79,0
58,106148,33,40,0
54,80998,2,98,1
41,120434,8,14,0
46,132696,4,29,0
63,49047,9,16,0
48,63356,11,93,1
52,57134,17,87,0
50,87042,20,10,0
38,71310,20,47,0
49,137604,0,4,0
40,100758,2,12,0
50,32363,4,42,0
20,105149,24,98,1
35,64563,7,4,0
42,50628,16,84,0
59,128162,8,92,1
48,130920,31,92,1
20,140953,5,6,0
57,89672,39,14,0
63,66246,20,35,0
41,31161,6,47,0
49,120993,6,58,1
64,109110,38,65,1
39,112438,26,19,0
40,22810,7,57,0
19,79860,8,65,1
44,97199,27,13,0
59,91688,14,8,0
19,85548,1,18,0
43,82363,6,35,0
34,31162,17,87,0
57,107858,21,26,0
50,93535,9,38,0
26,27219,32,84,0
60,90864,6,66,1
56,23621,2,26,0
46,138371,13,57,1
59,109792,35,25,0
43,64433,12,30,0
52,139998,15,82,1
42,96850,15,7,0
41,146344,4,27,0
30,86188,24,11,0
24,74951,37,8,0
53,101718,37,11,0
62,127116,37,88,1
37,56558,38,30,0
18,148938,25,94,1
25,35659,12,15,0
63,54413,25,56,0
33,30435,0,35,0
31,139200,7,39,0
29,73911,3,24,0
40,48067,20,8,0
32,107794,21,43,0
45,113823,36,42,0
51,89224,2,84,1
19,93225,18,41,0
49,21379,0,47,0
40,122547,28,26,0
39,128541,22,52,1
42,47624,32,88,0
39,111500,22,22,0
39,108427,4,5,0
59,134634,6,15,0
23,142507,5,36,0
32,148701,21,63,1
60,77745,12,93,1
54,71805,11,79,1
50,123915,3,91,1
25,140815,7,49,0
61,32516,36,55,0
61,99422,30,72,1
22,105843,36,60,1
56,149560,25,57,1
21,44843,7,29,0
23,132020,39,19,0
62,25912,32,95,0
49,41514,28,73,0
47,107359,4,10,0
64,77032,27,10,0
52,48797,39,97,0
57,26449,16,89,0
33,21725,22,57,0
30,101406,8,54,1
59,29304,1,56,0
47,93058,31,68,1
36,145555,30,69,1
34,33663,6,87,0
36,90320,29,55,1
45,95008,2,69,1
43,135920,8,72,1
54,114488,9,81,1
43,147418,25,1,0
40,95591,0,12,0
26,115044,29,35,0
29,32676,37,78,0
18,45192,14,82,0
18,44722,24,74,0
64,27446,5,79,0
51,139304,17,33,0
49,24725,0,83,0
42,105597,2,98,1
57,133073,16,25,0
62,108207,7,16,0
18,77632,39,8,0
33,86945,16,35,0
56,93741,24,85,1
22,36365,11,83,0
39,85792,28,46,0
46,84857,24,11,0
20,136409,35,61,1
29,35704,24,44,0
43,70575,28,11,0
33,49902,10,11,0
54,139641,3,22,0
39,121294,13,85,1
46,21195,37,91,0
31,139247,16,82,1
45,73517,1,62,1
22,54012,7,48,0
64,31415,35,94,0
47,59534,9,63,0
63,41686,6,51,0
22,97198,35,45,0
29,134514,15,33,0
33,48743,13,85,0
43,52161,15,60,0
43,81313,24,2,0
38,135994,3,13,0
56,128617,28,66,1
53,22402,5,57,0
50,83190,0,43,0
47,135184,38,45,0
54,72551,0,31,0
40,33275,39,10,0
27,48182,2,23,0
22,34915,0,86,0
53,20909,0,29,0
51,134110,38,97,1
48,85908,20,31,0
27,147337,29,78,1
36,42620,31,74,0
49,54112,32,18,0
18,94051,21,11,0
22,22431,29,47,0
62,106590,3,3,0
21,82175,22,2,0
33,137472,24,54,1
41,52624,11,72,0
33,96121,16,31,0
19,81264,14,8,0
45,133766,9,43,0
49,51958,34,48,0
44,144095,28,2,0
37,21695,11,22,0
41,120211,0,5,0
29,139502,0,7,0
52,69932,9,20,0
50,119323,17,92,1
50,64225,1,77,1
60,21403,7,2,0
54,103346,21,32,0
29,94391,21,90,1
20,58636,25,3,0
18,30839,25,41,0
50,85546,8,42,0
57,124634,20,77,1
27,67829,30,85,1
60,29230,5,45,0
61,71977,13,87,1
46,60232,32,71,1
30,133050,6,17,0
29,121307,23,92,1
48,114792,8,47,0
63,45651,10,94,0
19,117919,22,69,1
52,59963,1,24,0
40,75872,14,71,1
34,137776,34,34,0
43,99198,35,50,0
25,33739,27,42,0
46,83294,38,33,0
43,68356,3,27,0
27,21789,9,78,0
43,39420,5,59,0
51,109297,29,19,0
58,125902,34,76,1
24,57606,9,3,0
21,58640,31,71,0
62,138341,2,99,1
28,64135,25,25,0
46,57067,14,15,0
53,78420,16,83,1
42,37357,26,60,0
38,59851,17,83,0
53,58262,18,23,0
27,144745,11,11,0
54,96853,23,59,1
26,78643,4,85,1
41,138094,23,34,0
52,41534,26,7,0
52,111270,29,44,0
53,121433,14,91,1
35,52872,37,64,0
56,125737,33,23,0
49,27689,26,58,0
41,89103,19,20,0
40,106268,31,27,0
49,106310,3,60,1
54,108731,4,8,0
29,135869,7,67,1
30,57412,21,2,0
40,67734,6,22,0
42,129634,21,70,1
52,107793,29,36,0
58,89930,36,24,0
47,121838,15,12,0
34,42228,14,81,0
37,140627,4,22,0
42,97924,2,83,1
39,31319,22,73,0
30,26475,9,76,0
36,117091,4,96,1
53,103694,22,95,1
29,34728,14,81,0
58,130310,17,23,0
36,49545,24,74,0
29,116636,7,63,1
26,142971,30,30,0
24,101686,20,19,0
45,118750,1,26,0
31,118412,21,90,1
48,81756,7,11,0
36,88775,22,20,0
64,58699,31,56,0
33,56821,7,45,0
22,50615,3,68,0
52,33746,29,47,0
29,106457,18,76,1
42,42745,22,89,0
38,21245,17,58,0
53,137408,28,10,0
40,132143,22,22,0
33,44853,32,71,0
56,47632,17,24,0
62,32856,32,66,0
59,76893,6,96,1
56,90641,27,85,1
31,121226,0,61,1
48,88049,38,7,0
22,78182,33,72,1
52,22801,38,38,0
40,117881,18,21,0
46,99431,30,8,0
60,59749,12,89,0
28,93757,23,28,0
35,75654,4,92,1
64,91574,22,54,1
29,117567,18,31,0
26,75381,0,89,1
27,78601,32,41,0
61,35082,32,37,0
34,34648,31,38,0
55,20364,27,51,0
24,54568,36,76,0
63,99646,11,37,0
30,91494,8,31,0
57,94632,10,62,1
59,27436,32,18,0
26,106713,18,90,1
44,46754,33,6,0
19,80194,6,9,0
22,44544,30,11,0
46,80180,1,95,1
54,83295,18,2,0
55,32638,37,29,0
36,85715,31,51,1
25,89409,9,69,1
62,148479,7,23,0
18,138648,25,7,0
39,103106,29,56,1
34,148782,10,77,1
24,146839,19,62,1
42,133759,19,74,1
62,37157,8,80,0
21,65565,7,15,0
53,89996,14,53,1
23,133620,33,43,0
48,85888,23,83,1
36,76095,32,85,1
61,84947,39,35,0
56,107122,26,79,1
44,90880,20,14,0
27,24507,4,93,0
43,123134,34,69,1
36,63988,20,49,0
56,118421,3,18,0
20,36865,15,51,0
62,122591,30,1,0
30,149614,25,27,0
45,47213,34,64,0
37,75954,5,60,1
45,77450,32,91,1
25,24477,20,89,0
58,82222,15,41,0
56,26533,38,21,0
18,69395,33,14,0
20,145512,14,20,0
30,43396,5,92,0
45,32755,1,85,0
42,20865,23,87,0
50,31173,27,11,0
55,78905,0,66,1
23,58097,0,84,0
61,53371,27,24,0
62,124060,35,89,1
49,31254,19,37,0
62,24018,7,86,0
64,25192,0,24,0
38,22015,25,15,0
33,128154,24,12,0
38,88916,9,95,1
28,48343,11,64,0
54,89306,6,31,0
53,25829,11,53,0
52,54381,39,94,0
36,131451,16,84,1
37,101081,4,72,1
35,38263,13,44,0
64,123676,33,30,0
58,73260,16,35,0
31,63306,34,21,0
32,111211,0,63,1
48,78418,35,92,1
18,110898,14,17,0
20,20148,18,12,0
33,21754,4,18,0
40,46745,18,92,0
28,92914,38,60,1
29,131895,4,67,1
27,75833,11,15,0
49,40140,18,16,0
33,94907,11,22,0
25,80653,35,95,1
55,112535,11,63,1
29,81521,17,31,0
41,98315,33,1,0
45,51075,32,75,0
25,50697,17,6,0
45,143804,28,87,1
53,74544,4,9,0
43,29795,24,52,0
25,84555,23,80,1
45,72204,28,62,1
45,123996,37,58,1
54,89754,32,19,0
58,84860,9,13,0
53,123107,36,32,0
44,71529,32,9,0
34,31672,22,49,0
26,74238,10,37,0
50,116578,23,31,0
37,55950,23,31,0
30,31009,6,59,0
45,67096,20,55,1
46,39544,19,19,0
30,75728,9,63,1
63,49381,24,2,0
52,147769,35,45,0
23,45287,14,96,0
35,84610,39,43,0
22,88122,39,98,1
64,88184,5,1,0
42,60081,36,85,1
19,103637,1,61,1
27,65312,11,3,0
47,107228,3,91,1
62,92943,22,44,0
22,102790,12,7,0
50,100770,16,33,0
18,72726,30,9,0
35,42211,15,30,0
49,49480,25,18,0
64,67780,27,56,1
28,77138,0,90,1
38,110382,11,84,1
43,62503,36,31,0
42,77893,19,72,1
39,66193,1,63,1
44,134002,35,87,1
30,147543,14,50,0
50,81358,37,89,1
51,100857,21,1,0
58,98182,31,82,1
52,140457,19,19,0
18,42117,35,64,0
38,148333,32,53,1
23,79056,14,6,0
45,137928,2,17,0
34,78706,28,46,0
22,90429,26,72,1
48,29476,4,73,0
22,102806,30,55,1
55,75006,21,91,1
20,107238,34,6,0
40,136946,6,70,1
54,89918,5,68,1
54,83155,25,86,1
27,87321,0,40,0
27,65798,18,91,1
36,97271,6,66,1
34,50177,35,9,0
38,116248,11,11,0
31,148022,19,20,0
26,142415,22,43,0
63,102215,24,58,1
18,63013,29,78,1
62,120901,28,26,0
30,102600,30,38,0
21,116099,17,94,1
18,139578,18,36,0
57,73450,3,99,1
49,118628,0,55,1
51,67928,14,6,0
45,142640,7,3,0
48,112403,14,65,1
25,65382,14,64,1
56,119290,38,58,1
43,105038,21,58,1
51,20760,17,18,0
20,44142,15,23,0
29,130189,1,96,1
18,127532,35,29,0
61,37290,19,23,0
22,91035,15,36,0
47,20364,2,70,0
47,76921,29,81,1
34,39797,1,82,0
64,126331,34,95,1
40,52535,25,6,0
32,66300,4,34,0
54,67176,1,44,0
38,36105,19,44,0
31,27939,33,27,0
19,99472,33,52,1
28,62029,19,42,0
56,35863,24,25,0
55,98097,19,74,1
51,30447,24,39,0
55,116160,13,39,0
51,66940,38,12,0
35,130182,11,11,0
47,97947,4,3,0
32,105001,1,22,0
44,123752,15,4,0
51,39642,29,8,0
55,116798,37,14,0
50,115899,23,84,1
41,87643,29,88,1
32,27928,36,14,0
47,68002,38,92,1
59,104853,10,16,0
34,134614,13,32,0
22,137517,22,64,1
46,45017,15,76,0
21,99064,20,16,0
27,139694,3,52,1
34,33313,32,19,0
27,21559,13,69,0
34,70893,18,12,0
37,35167,4,93,0
41,100879,35,5,0
22,58598,30,42,0
51,27523,17,17,0
23,69777,30,72,1
19,48439,29,94,0
30,136378,20,10,0
60,101060,29,84,1
60,33285,3,16,0
28,30973,4,16,0
64,142970,9,42,0
40,42694,26,3,0
33,55774,15,23,0
48,24302,29,86,0
28,135776,12,28,0
33,42391,35,45,0
25,24611,20,68,0
21,29372,39,24,0
57,44312,14,19,0
21,34080,19,75,0
42,100618,19,40,0
20,132945,4,46,0
49,128397,31,40,0
20,116213,5,62,1
44,40874,29,18,0
46,82537,25,12,0
49,93914,36,14,0
36,21597,12,82,0
38,31600,28,61,0
22,23747,4,12,0
35,99415,24,27,0
45,137358,12,6,0
59,98553,23,88,1
39,44815,30,33,0
38,104500,19,80,1
23,114348,7,50,0
18,125736,8,12,0
22,44714,20,95,0
58,38890,19,57,0
29,81509,14,53,1
43,81824,25,13,0
63,24725,10,72,0
51,63205,36,3,0
31,40684,10,64,0
43,111861,26,84,1
62,77911,29,58,1
44,118078,18,4,0
26,131573,33,45,0
43,33092,37,66,0
64,115918,22,36,0
39,59770,0,23,0
64,45457,2,19,0
47,91667,2,40,0
60,131565,27,72,1
34,110751,13,16,0
43,82894,29,58,1
53,81305,4,18,0
18,32612,14,36,0
25,122841,37,24,0
52,98627,13,1,0
32,120639,13,1,0
64,57089,7,64,0
39,115295,7,62,1
31,131558,18,36,0
43,72137,31,75,1
45,20559,30,18,0
40,86249,28,16,0
31,57361,10,17,0
41,100720,12,24,0
19,35261,26,98,0
62,40372,18,68,0
43,75355,25,99,1
31,117676,36,79,1
24,118560,8,2,0
20,77920,27,95,1
64,132878,31,73,1
40,52544,2,10,0
63,20037,31,53,0
60,63032,4,89,1
64,98233,7,51,1
62,61420,13,69,1
35,134234,2,14,0
55,117243,23,66,1
52,111552,12,82,1
32,149380,28,93,1
42,147358,7,53,1
54,54600,30,84,0
45,68285,25,64,1
27,82008,17,72,1
56,109520,17,49,0
34,25167,6,90,0
56,146279,37,62,1
39,20432,15,37,0
43,89687,32,49,0
61,133216,2,68,1
42,91947,37,33,0
34,116324,3,22,0
30,70903,35,70,1
37,112159,3,33,0
42,74149,8,28,0
21,107640,39,88,1
27,76768,16,4,0
20,80184,16,66,1
58,85792,32,77,1
62,53439,19,49,0
35,53257,13,11,0
64,125193,21,35,0
53,64674,26,39,0
64,71248,2,10,0
39,103602,23,74,1
51,65371,29,72,1
64,118282,7,69,1
25,87996,21,23,0
57,57297,24,34,0
61,74273,9,32,0
36,81256,28,16,0
59,54743,39,68,0
58,88752,0,54,1
54,99803,20,28,0
23,95117,38,60,1
43,90051,23,78,1
51,42076,8,76,0
62,130352,25,60,1
23,95312,8,85,1
54,139627,19,80,1
50,107483,34,44,0
39,22963,35,2,0
38,139217,35,23,0
23,92322,8,93,1
23,33866,21,46,0
21,124504,0,73,1
47,52305,4,54,0
28,82403,8,71,1
47,102896,36,93,1
48,125649,37,81,1
41,146244,18,9,0
26,52813,7,70,0
20,86729,31,44,0
48,80686,12,84,1
57,24512,19,74,0
54,139631,35,73,1
53,42666,36,12,0
41,36630,29,97,0
48,137907,9,32,0
23,147205,30,34,0
19,94519,24,83,1
37,20636,28,33,0
45,23775,23,64,0
28,87957,38,48,0
21,84591,20,16,0
32,98561,8,50,0
23,94816,1,23,0
47,122487,3,26,0
55,31351,7,54,0
19,135400,31,44,0
32,140533,13,37,0
28,123627,12,9,0
25,75184,20,94,1
43,148381,23,13,0
62,131192,17,60,1
61,115707,39,80,1
22,89180,25,2,0
23,101678,31,95,1
43,93309,32,60,1
21,114002,30,57,1
36,30778,17,43,0
37,32501,34,19,0
50,132713,11,11,0
37,22108,24,78,0
29,114905,30,47,0
64,56382,9,89,0
18,111354,33,63,1
43,95787,2,7,0
31,43341,38,79,0
55,97214,7,94,1
54,34367,31,31,0
28,139967,28,88,1
53,115208,21,55,1
30,89868,19,25,0
60,32002,5,72,0
20,148180,28,30,0
50,105820,16,36,0
23,79949,30,50,0
27,35700,33,14,0
22,99305,37,29,0
40,82543,36,27,0
27,49318,3,50,0
61,109859,1,36,0
19,47610,11,34,0
30,92499,34,21,0
57,139256,5,38,0
19,93374,7,75,1
37,85226,20,97,1
18,65167,34,79,1
54,97779,14,76,1
26,47939,6,88,0
34,81365,14,50,0
26,87381,5,37,0
28,66710,16,75,1
32,36766,3,19,0
41,122416,21,1,0
55,32780,31,81,0
52,68458,21,40,0
47,76221,26,55,1
48,138498,14,80,1
22,128392,21,26,0
61,21509,27,43,0
31,109493,37,59,1
28,130708,8,51,1
26,54346,33,15,0
51,102799,35,8,0
29,136850,8,94,1
52,66874,14,14,0
52,46148,19,97,0
18,51533,7,7,0
57,128144,27,18,0
39,142402,18,12,0
46,98467,15,2,0
25,21359,10,50,0
28,139119,7,93,1
58,110068,32,21,0
54,80313,9,7,0
31,40344,17,91,0
47,138499,34,12,0
52,89778,2,84,1
38,40601,39,57,0
54,134768,26,78,1
22,39116,27,74,0
36,76985,5,23,0
31,121013,13,30,0
43,137110,6,58,1
21,138329,9,95,1
42,50782,14,52,0
62,131095,30,56,1
59,69819,28,10,0
42,104416,16,19,0
35,89035,28,19,0
57,117123,14,87,1
25,64458,25,59,1
56,111556,11,44,0
57,144225,24,59,1
31,28080,4,96,0
49,108743,3,84,1
55,53957,30,4,0
50,33908,2,97,0
40,116188,2,65,1
32,115880,25,13,0
50,141292,16,67,1
42,110570,9,12,0
34,111324,1,93,1
50,98287,23,55,1
64,143791,10,61,1
19,67482,23,95,1
31,119329,34,41,0
57,142473,22,36,0
57,145291,31,2,0
56,118375,22,22,0
23,58314,33,22,0
23,120989,18,41,0
20,94921,1,95,1
24,142060,1,14,0
25,103768,14,93,1
59,128880,20,35,0
32,120326,34,50,0
64,35831,4,9,0
46,141026,26,96,1
50,40125,23,59,0
47,82451,6,56,1
56,65708,5,91,1
44,37682,32,10,0
53,122406,16,25,0
46,102824,29,45,0
55,55794,7,97,0
50,79372,39,11,0
54,59477,6,9,0
44,73863,5,7,0
50,109941,3,71,1
21,58737,0,34,0
39,22620,14,83,0
19,120950,30,20,0
27,123169,24,89,1
22,142033,32,5,0
27,55057,34,93,0
50,60138,4,55,1
55,99390,4,91,1
30,73024,35,89,1
48,29677,16,15,0
64,64111,13,48,0
53,44074,28,4,0
62,37824,7,78,0
41,20765,33,81,0
32,65439,39,21,0
46,145318,0,80,1
25,117151,28,90,1
22,68926,35,9,0
46,56860,36,66,0
64,32975,28,79,0
21,94877,4,35,0
29,113677,31,88,1
62,97870,23,51,1
19,134381,18,78,1
44,101371,11,37,0
48,46548,0,6,0
53,120970,6,82,1
53,110575,16,86,1
43,118066,33,82,1
60,58736,6,51,0
44,81562,16,66,1
22,60409,2,96,1
37,104101,28,17,0
28,29834,21,65,0
27,122192,37,9,0
57,20840,28,13,0
55,99409,4,58,1
23,51568,29,30,0
25,30846,22,31,0
40,25899,20,23,0
64,106038,25,63,1
43,86101,20,28,0
63,58773,19,59,0
60,149789,22,10,0
29,127460,3,89,1
43,128778,20,90,1
30,94723,20,26,0
57,92762,0,77,1
35,127683,14,17,0
42,124194,16,40,0
50,131417,13,68,1
64,24311,18,23,0
57,129750,33,35,0
60,76888,5,75,1
29,61616,5,76,1
61,72134,4,9,0
53,111225,6,79,1
21,26083,32,45,0
22,32598,12,37,0
54,102476,0,69,1
25,137707,12,19,0
59,112416,26,75,1
45,22580,6,73,0
48,142834,2,99,1
26,132148,24,27,0
46,77395,32,13,0
31,62321,39,57,1
57,29386,16,60,0
58,73171,13,12,0
39,39522,36,9,0
28,85532,22,92,1
40,111760,23,77,1
18,34635,28,84,0
63,20671,37,77,0
54,53545,26,27,0
38,74079,37,90,1
43,46855,39,63,0
63,55790,22,93,0
53,71012,30,29,0
40,137827,35,22,0
18,132121,16,73,1
57,149051,36,88,1
32,34260,2,19,0
38,85139,35,38,0
64,21074,4,95,0
26,62676,14,39,0
26,29475,5,15,0
27,98414,9,54,1
43,35120,31,32,0
58,43147,22,46,0
52,21986,16,61,0
42,129129,19,93,1
43,52430,14,52,0
28,127497,21,34,0
55,75479,5,73,1
19,102966,3,35,0
24,22176,22,70,0
35,104258,18,37,0
44,128351,30,78,1
51,135188,2,61,1
44,104153,27,49,0
34,81918,2,9,0
60,148570,13,19,0
61,47115,17,87,0
41,122912,26,28,0
42,97442,9,80,1
24,60002,14,26,0
23,77124,18,38,0
41,26610,8,40,0
50,128828,3,25,0
46,69752,14,99,1
60,148416,7,69,1
39,98947,0,71,1
43,138972,6,23,0
45,94716,30,89,1
38,67993,17,65,1
24,30073,11,22,0
34,57251,29,64,0
37,116496,32,68,1
58,91437,6,58,1
37,58897,27,28,0
39,70906,2,78,1
45,71616,5,97,1
57,128719,30,68,1
24,24482,37,75,0
18,127990,14,96,1
49,110964,6,4,0
30,92936,29,1,0
47,59574,26,26,0
40,143331,16,33,0
36,63284,17,81,1
49,92932,21,27,0
47,27338,25,42,0
46,62718,26,69,1
62,32500,39,71,0
46,31545,23,64,0
47,81480,7,25,0
33,25241,20,72,0
57,109314,28,98,1
36,42821,20,4,0
35,24695,2,12,0
18,97066,30,58,1
31,132616,26,95,1
64,137276,26,11,0
19,34318,8,59,0
45,70934,32,36,0
47,42331,32,22,0
55,141282,25,65,1
21,72672,27,50,0
18,111891,30,4,0
25,96860,0,72,1
46,113685,19,89,1
56,88754,11,92,1
20,105677,16,52,1
49,122320,14,43,0
27,22837,33,46,0
27,145261,15,4,0
36,140688,3,13,0
63,134616,7,38,0
51,125338,33,45,0
50,60077,24,25,0
40,99915,14,67,1
45,24239,27,55,0
49,130432,8,96,1
24,106348,1,39,0
46,49669,16,65,0
25,68624,9,75,1
18,95147,8,2,0
20,24150,30,69,0
41,144210,1,86,1
40,31109,23,62,0
25,119750,18,46,0
64,46016,16,77,0
54,31936,9,87,0
20,31036,27,31,0
50,59236,37,99,0
45,34021,27,35,0
64,140478,0,45,0
25,56943,2,77,0
51,133694,14,54,1
52,123384,9,71,1
